"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Bicd2",15762.7772707988,-0.511158922513848,0.116995852638403,1.21765119971446e-06,3.39985725789781e-05,17805,10603,11612,17441,17120,17839,20102,20808,16151,15876,11410,14054
"Nol8",10368.3546849658,-0.552744901289094,0.276830474376242,0.00356626666278395,0.023281770128243,12919,5642,9955,8016,12643,10897,13473,18092,11344,4974,6502,9669
"H2af-ps2",207.560678108153,0.519708878340551,0.218882756084761,0.00164193237682657,0.0128996906399534,136,218,233,305,126,144,164,200,156,400,280,214
"S1pr3",30.5360338678211,1.4054392139354,0.472257128667942,2.60391183636574e-05,0.000462332153232457,10,26,32,62,24,10,20,14,18,60,69,42
"Cks2",10272.4300972418,-0.309313088547296,0.130457036993328,0.00720791886919508,0.0397326106120273,10600,8295,8978,13646,10447,8712,12675,13514,10099,10475,9825,7746
"Gadd45g",3170.28384782011,0.772115367937931,0.156430138012243,1.69807452753141e-08,7.80853613329081e-07,1818,3461,3150,5517,2022,2263,2428,2400,1956,5681,4826,3993
"Nfil3",6732.55937869766,1.29394867928718,0.154217058375251,2.56623400439064e-18,5.17416931135263e-16,2390,8708,7485,14403,3728,3087,4421,4298,3341,11406,13396,7852
"Sptlc1",6590.81898819887,0.281503541967167,0.100510149977826,0.00252966585877146,0.0178541108692624,5361,5850,6208,10331,5675,5065,6102,6748,5109,9956,7885,7205
"Slc34a1",16.7187281722115,0.730435245133908,0.594146959249875,0.00666234417516818,0.0373895830968305,11,25,26,32,4,8,6,5,14,33,12,30
"Pdlim7",19936.556436433,0.766682402142363,0.194475091910025,1.87906736315995e-06,4.9361563562334e-05,11126,24758,23508,39056,13308,8876,14352,16641,11679,30242,36670,17960
"Dok3",414.219934538295,-0.59599098433605,0.334264919224988,0.00471525568509021,0.0288262963442148,746,259,342,372,445,365,504,647,496,389,132,263
"Gm46416",70.5460846621174,1.52128244571616,0.304814894263082,1.26350386959476e-08,6.09066957276608e-07,32,64,90,123,37,30,30,45,33,185,119,111
"Ddx46",34904.8145968509,-0.638334505914494,0.204650054049944,7.87524746799266e-05,0.00115803691554234,43499,20023,29784,30438,40981,36813,43821,59519,37187,23456,22177,32412
"Txndc15",5834.03331914453,-0.271902324511967,0.111850218673347,0.0076756959043884,0.0416649410870102,6046,4302,4755,7307,6283,5074,6874,7392,6061,6706,5535,4696
"2010203P06Rik",12.7778646356441,0.635996510118478,0.711479829484841,0.0091063307692921,0.0475711634034096,2,11,4,41,21,0,15,2,23,7,18,14
"Hnrnpa0",65112.9722251129,-0.234158338134098,0.079814622751118,0.00211091625572697,0.0155934225976145,60570,52542,54558,81549,68509,61398,74862,84078,59406,70908,64460,60651
"Gm26555",123.210168064841,-0.722125456268916,0.256983579154208,0.000155895375708182,0.00200550314921771,174,65,84,83,150,138,167,182,145,85,83,114
"Hnrnpk",113639.718242648,-0.227139371945035,0.0759226632502897,0.00180498424205327,0.0138451941280418,110833,87192,95542,147988,117698,112680,128491,137985,104808,128653,106764,107185
