"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","Naive","Diff","log2fold_Diff_Naive","countData.1_C1P_S1","countData.11_F8P_Diff_S11","countData.3_F6_S3","countData.5_F8P_S5","countData.7_C1P_Diff_S7","countData.9_F6_Diff_S9"
"Zfp46:XM_036163984.1-1","Zfp46","XM_036163984.1-1",101.409745661027,0.00682491342518075,39.6064782684522,3.106510851486e-10,6.75931520834061e-07,15.878591116831,10.5716880604619,-1.18362894299427,147,47,154,150,67,48
"Zfp46:NM_001356308.1-1","Zfp46","NM_001356308.1-1",96.2005304494934,0.00875539038942801,36.2361797640534,1.74795180979572e-09,3.01337479960575e-06,15.5422233907795,10.1679849839179,-1.23403923460863,143,43,148,140,64,43
"Kdm1a:NM_001356567.1-9","Kdm1a","NM_001356567.1-9",37.9441740488192,0.0244198331722926,11.6037400562493,0.000658193210981682,0.0756699955736266,6.83991502845038,10.0705178183194,1.1200223195582,18,35,21,37,70,59
"Rap1gap:XR_003954867.2-5","Rap1gap","XR_003954867.2-5",87.5140048903979,0.00705678572373339,12.7624676804174,0.000353644036931551,0.0506787896379018,14.5944871425865,11.5631961370451,-0.677345030601473,121,52,68,80,161,67
"Rap1gap:XR_003954867.2-22","Rap1gap","XR_003954867.2-22",274.202449161327,0.0015612127362977,11.8970111354117,0.000562240893115096,0.0685557634813403,20.9927706529743,23.6003989005942,0.345992385016129,221,200,183,161,665,323
"Rap1gap:XR_003954867.2-23","Rap1gap","XR_003954867.2-23",388.391118814458,0.00123389819372165,18.5015594876742,1.69765335020279e-05,0.00584433464322578,24.7864294502788,27.9553083808222,0.358842312196527,312,299,268,213,951,438
"Rap1gap:XR_003954867.2-25","Rap1gap","XR_003954867.2-25",1346.22690419649,0.00275270010517531,13.6073696462715,0.000225299337416328,0.0373189286078238,45.7853404471922,48.9369473714819,0.212667229977885,1174,933,988,682,3222,1569
"Rap1gap:NR_138591.1-21","Rap1gap","NR_138591.1-21",226.277109843793,0.00156724911994432,10.8747825823216,0.000974824720694299,0.0959881106539201,19.0695904153489,21.5578533970273,0.360974890153085,187,168,144,134,565,253
"Rap1gap:NR_138591.1-22","Rap1gap","NR_138591.1-22",367.292658439526,0.00124635482934377,19.5642921580794,9.72703113482487e-06,0.00386516689489185,24.0278928199911,27.2680431927556,0.376640215465576,295,284,251,198,901,417
"Eif4g3:XM_006538776.4-32","Eif4g3","XM_006538776.4-32",1803.13831504188,0.000304468583351761,16.6456228548747,4.50541560999277e-05,0.0118651258355148,53.4632616953754,56.1132600080179,0.159475092870903,1830,1602,1527,2229,2088,1817
"Micos10:XR_004941931.1-5","Micos10","XR_004941931.1-5",489.294010294441,0.00420906562041384,11.2794308415108,0.000783705799779718,0.0841987813547613,27.9406576839869,31.9408665684238,0.40280922193744,388,539,336,523,750,509
"Slc66a1:XR_003954903.2-10","Slc66a1","XR_003954903.2-10",391.941894467853,0.00527191026867979,12.4080734077329,0.000427481667867565,0.0575608577286016,28.9850689466321,24.6757489747238,-0.480614114235619,428,256,445,536,384,354
"Arhgef10l:XR_003955021.2-12","Arhgef10l","XR_003955021.2-12",335.570218899425,0.00174173253213002,11.6460549953845,0.000643388345376217,0.0745744200648412,26.2670107342427,23.8817213346111,-0.283068844232593,290,294,262,335,610,321
"Gm13025:XR_001784551.2-3","Gm13025","XR_001784551.2-3",7.51685705252083,0.121585754257933,10.9323128832303,0.000945014472828475,0.094212646151694,4.57887282411761,3.03976737005755,-1.18288938354966,4,4,8,21,9,3
