"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","12_S3_Diff_S12","2_S1_S2","4_S2_S4","6_S3_S6","8_S1_Diff_S8"
"Mysm1",3439.60626770025,-0.908489542340767,0.37587121108177,0.000662393316332091,0.004209007712172,1714,2170,4057,3816,3734,1514
"Hook1",3674.49471688852,-0.979564918849493,0.254324679217487,3.36553545947729e-06,5.5437480793228e-05,1973,2667,4346,4544,3966,1878
"Dock7",14069.7570043887,-0.365746005731653,0.132042234175029,0.00330256354382204,0.0155272320516602,8655,15686,13102,14634,12568,10655
"Itgb3bp",675.998234732805,-0.520528114902635,0.266922812922324,0.0139259486941389,0.0482826571285634,456,537,750,738,656,443
"Efcab7",992.03564785091,-0.702880057440209,0.313094982752061,0.00273718666761469,0.0133200434516622,474,757,1140,1065,1014,625
"Pgm1",5518.8406982854,0.40835303911165,0.143765872462221,0.00229934077398516,0.0115845450960343,5439,8865,4825,5289,4236,8075
"E130102H24Rik",49.7536073371882,-0.93822429296772,0.493768210712514,0.00210804349973633,0.0107761004743957,16,21,32,65,46,18
"Sgip1",7906.33482716994,-0.369213383740151,0.114516505596797,0.000750568883685366,0.0046591707880398,5757,9784,8843,9011,7829,6734
"Mier1",4202.43519316318,-0.686779361746899,0.283365765797992,0.00189170339367995,0.00984784718522216,2420,3906,5488,5060,4313,2610
"Slc35d1",3097.82402991002,0.615864539845494,0.159419978223593,2.29555538807122e-05,0.000271798424237523,3194,5414,2475,2383,1944,3911
"Usp24",10121.7084541875,-0.656781138440822,0.23805809277274,0.000873197248155102,0.00527667812581105,6073,9939,11526,11998,10869,6173
"Lexm",354.216705554975,1.344517774131,0.241080536443816,3.20018794028977e-10,1.59773192666515e-08,328,660,142,153,129,369
"Acot11",1236.64590839953,0.829092950252038,0.215486549340615,7.10556294810256e-06,0.000102577847420988,1093,1900,591,699,565,1135
"Mrpl37",7683.12449377198,0.393954986538922,0.177922976923263,0.0136895835060799,0.0476284845759067,7306,11903,6534,7231,5625,11253
"Tmem59",13408.0765640359,0.33898757669636,0.120803550013358,0.00321099987974335,0.0151784166993549,11070,19649,10533,11480,9223,15423
"Glis1",246.30563240244,-0.411791895163987,0.185139742230529,0.0124494072198875,0.0443061133730178,147,189,232,247,220,219
"Lrp8",11570.794172459,-0.908604762593514,0.19389486214469,1.05849139058912e-07,2.83467509185993e-06,7383,11100,14568,16338,13836,6595
"Lrp8os2",33.9107100654328,0.973198030097522,0.618601494715499,0.00319476885359774,0.0151119124951705,29,28,12,8,4,44
"Czib",3716.44139186993,0.413497339146789,0.109797579380932,8.65610403248286e-05,0.000803496438499925,3323,5349,2935,3093,2659,4744
"Cpt2",2166.3376944211,0.718951749715111,0.166293226248394,1.75047801146593e-06,3.15612841121489e-05,2127,3684,1487,1698,1232,2948
"Scp2",4606.30283011518,-0.348542930167175,0.142921589568977,0.0089963000515239,0.034211718494814,3128,5508,4711,5205,4419,3875
"Coa7",2214.92356897973,0.414050809289443,0.128210135092477,0.000633045683484071,0.00404705333444435,1916,3313,1661,1943,1684,3052
"Gm46889",55.3867211892042,0.7433320558949,0.307840839437143,0.00143879663534805,0.00790414635750936,54,104,32,39,31,78
"Shisal2a",339.028478028335,0.627426724854609,0.252777150047329,0.0022349819973267,0.0113201298313874,382,563,264,194,227,426
"Gm32297",64.2904998600375,0.629143190867591,0.37200451450344,0.0129537701886037,0.0457054698106731,63,151,51,32,38,79
"Gpx7",2479.88489534301,0.571391702279699,0.16465340926017,0.000132728214983,0.0011415824200076,2492,4137,1892,2240,1784,3922
