"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Cpa6",0,NA,NA,NA,NA
"Gm25253",0,NA,NA,NA,NA
"Prex2",0.471113493972349,-0.00390694175954422,0.150314645023215,0.544334844726039,NA
"Gm24173",0,NA,NA,NA,NA
"A830018L16Rik",0.899410195646776,-0.00173952510670396,0.150093384114583,0.818205750165557,NA
"Gm30898",0,NA,NA,NA,NA
"Gm30974",0,NA,NA,NA,NA
"Gm22633",1.84329190565822,0.00830950800005715,0.150366583380318,0.359496600823014,NA
"Gm39591",0,NA,NA,NA,NA
"Mir6341",0,NA,NA,NA,NA
"Gm17644",0,NA,NA,NA,NA
"Sulf1",0,NA,NA,NA,NA
"Slco5a1",0.268830154479417,0.00336252629338239,0.150281912950564,0.704769718695959,NA
"Gm39592",0,NA,NA,NA,NA
"Prdm14",8.83157714444499,0.0176482049709052,0.150804851679166,0.318342998449668,0.674415537456334
"Ncoa2",25596.0669269634,-0.0149339935241739,0.0853420488611799,0.865210342269941,0.964344785634916
"Gm23169",0.381009474536791,-0.00372964133139322,0.150303504758962,0.603878268750411,NA
"Gm39595",21.9762609496705,-0.0416404832866328,0.152152334533617,0.316100304741977,0.672261878599631
"Tram1",32105.2778140864,-0.0684598941842779,0.0799732975921393,0.323585641413646,0.679567847106724
"Lactb2",6012.76911082937,0.0845319708558934,0.114767699707959,0.293214567998241,0.655082022402508
"Xkr9",1.27442589374705,-0.000399905859235808,0.149912068386566,0.968577211607982,NA
"Gm26273",0,NA,NA,NA,NA
"Gm5523",107.385515488001,0.00721005567130226,0.130166490163866,0.913143544159745,0.977643945189864
"Gm31195",0.88598322044691,0.00596122098296789,0.150401747108179,0.331977483016931,NA
"Gm39596",0.537660308958834,0.00391878365091452,0.150313474043418,0.526845331456906,NA
"Eya1",1.69247368388516,0.0094614638520884,0.150657524860455,0.132502693002363,NA
"Msc",0,NA,NA,NA,NA
"Gm9947",0,NA,NA,NA,NA
"Trpa1",0.268830154479417,0.00336252629338239,0.150281912950564,0.704769718695959,NA
"Kcnb2",0.174161455744038,0.00282859782859898,0.15026101768121,0.833186714575572,NA
"Gm51616",0,NA,NA,NA,NA
"Gm51617",0,NA,NA,NA,NA
"Gm25168",0,NA,NA,NA,NA
"Terf1",3005.63209650311,-0.110247019834124,0.126717743154861,0.19009356920409,0.541850223405652
"Sbspon",0.381009474536791,-0.00372964133139322,0.150303504758962,0.603878268750411,NA
