"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.1_C1P_S1","countData.2_S1_S2","countData.3_F6_S3","countData.4_S2_S4","countData.5_F8P_S5","countData.6_S3_S6"
"Gm11734:25","Gm11734","25",72.143227622113,0.00585415596275683,17.2461070709629,3.28369674171675e-05,0.0118363687479089,10.7263579118711,14.158664536134,0.802592521308723,107,43,97,47,95,48
"Gm11734:27","Gm11734","27",356.567639378074,0.00125500345979442,12.8970825696379,0.000329094708318218,0.0548270225521721,29.6008469924277,26.8758178998009,-0.281434889569525,340,321,352,396,398,345
"Gm11734:30","Gm11734","30",72.143227622113,0.00585415596275683,17.2461070709629,3.28369674171675e-05,0.0118363687479089,10.7263579118711,14.158664536134,0.802592521308723,107,43,97,47,95,48
"Tmc6:102","Tmc6","102",85.1617698422841,0.00739035949688415,13.2556393524757,0.000271761080517013,0.0482531516138877,12.225142955441,15.5100511178523,0.688349640853659,98,77,84,75,142,50
"Tmc6:282","Tmc6","282",128.310694241043,0.00372350372461377,11.5258088098936,0.000686365821187975,0.0827766693060291,15.6071614817224,18.4966702128089,0.491894095105025,133,117,116,117,213,95
"Pgs1:8","Pgs1","8",2709.62804338125,0.000141891124585995,11.7487223239412,0.000608850195055161,0.0778234519279401,74.5869898424118,76.99682896424,0.0982574804865681,2265,2578,2549,2849,4201,2211
"Pgs1:18","Pgs1","18",2709.62804338125,0.000141891124585995,11.7487223239412,0.000608850195055161,0.0778234519279401,74.5869898424118,76.99682896424,0.0982574804865681,2265,2578,2549,2849,4201,2211
"Pgs1:28","Pgs1","28",2709.62804338125,0.000141891124585995,11.7487223239412,0.000608850195055161,0.0778234519279401,74.5869898424118,76.99682896424,0.0982574804865681,2265,2578,2549,2849,4201,2211
"Usp36:17","Usp36","17",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:38","Usp36","38",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
"Usp36:59","Usp36","59",1757.31214927531,0.000220424732259293,15.7219704120578,7.33670298692511e-05,0.0201981460736621,60.1187826793791,63.231586401157,0.152531893921539,1643,1475,1510,1675,3265,1348
