"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","WT","KO","log2fold_KO_WT","countData.10_S2_Diff_S10","countData.11_F8P_Diff_S11","countData.12_S3_Diff_S12","countData.7_C1P_Diff_S7","countData.8_S1_Diff_S8","countData.9_F6_Diff_S9"
"Arhgap23:XM_006533869.4-1","Arhgap23","XM_006533869.4-1",88.9660826900718,0.00621378902305356,16.5271940854287,4.79573099901783e-05,0.03319127957305,10.9178235940446,14.2207450141953,0.769993170557093,42,107,56,170,54,121
"Arhgap23:XM_006533863.5-1","Arhgap23","XM_006533863.5-1",88.9660826900718,0.00621378902305356,16.5271940854287,4.79573099901783e-05,0.03319127957305,10.9178235940446,14.2207450141953,0.769993170557093,42,107,56,170,54,121
"Gm11613:XR_003949768.1-3","Gm11613","XR_003949768.1-3",259.855081563405,0.0163765800609452,14.8403844892212,0.000117003043181709,0.0605658461631081,19.7851087390526,24.4628803697727,0.630654953979516,199,235,252,353,177,368
"Pip4k2b:XM_036156220.1-1","Pip4k2b","XM_036156220.1-1",210.007029709631,0.0026571036138627,15.5614543387633,7.98663008436041e-05,0.0462490420309392,18.2672061047223,21.4117615780132,0.469337710830024,146,221,210,284,149,273
"Cacnb1:XM_036156255.1-1","Cacnb1","XM_036156255.1-1",37.3071872922095,0.0573545404252927,15.4253423112728,8.58295121800741e-05,0.0485977294199651,5.44380854656993,10.5934253882587,1.92830009955221,12,30,13,52,19,100
"Gm31862:XR_389019.5-1","Gm31862","XR_389019.5-1",10.2249364005719,0.0568240824478242,16.6740637876436,4.43836795831308e-05,0.0317023055286225,5.75931586093236,2.59058088318528,-2.3075961262609,19,5,16,2,13,4
"Msl1:NM_028722.3-9","Msl1","NM_028722.3-9",4754.51870139897,0.00107560289904511,20.3468498939397,6.45993471382253e-06,0.00786099399764536,77.725574562147,81.9988522352698,0.210834355048194,3623,4914,6073,5579,4115,4839
"Cntnap1:XR_003949478.1-18","Cntnap1","XR_003949478.1-18",501.2227893586,0.00101330991003282,15.2492892370055,9.42122034924175e-05,0.0520587124242583,31.7249195802091,29.0004254876162,-0.273633741082481,461,473,711,483,453,470
"Bptf:NM_001359590.2-24","Bptf","NM_001359590.2-24",1043.08284712698,0.000543192000176398,15.9301257046151,6.57242434354819e-05,0.041634311070859,41.030024112873,43.5682604512232,0.191883088086243,745,1230,1186,952,713,1463
"Prkar1a:NM_021880.4-2","Prkar1a","NM_021880.4-2",681.43689731371,0.00203082915427044,33.0491022953284,8.98605290757307e-09,4.12129141710605e-05,32.4121822115575,38.2069209220803,0.510438240841646,490,525,747,1111,668,699
"Unc13d:XR_879738.3-10","Unc13d","XR_879738.3-10",2.36309987155468,0.148394504316757,14.1740198498572,0.00016665579473461,0.0767749341916403,0.0127853827061415,3.18200964041517,15.9194985031088,0,3,0,7,0,5
"Gm33250:XR_004937114.1-2","Gm33250","XR_004937114.1-2",28.9795460116867,0.041623648039424,26.4668459797304,2.68100186335536e-07,0.00062100669019919,9.3076682312948,5.67886009658997,-1.43046980739614,34,30,39,17,40,12
"Gm26730:XR_389166.1-1","Gm26730","XR_389166.1-1",6.84794135976545,0.103676035625394,14.161459373922,0.000167772095278398,0.0767749341916403,4.59550272318054,1.68676508017248,-2.89355215735575,11,0,8,2,17,2
"Gm26730:XR_389166.1-3","Gm26730","XR_389166.1-3",25.5975492844918,0.0289969373438933,25.6762102206068,4.03773988954543e-07,0.000898949864573786,6.34444345187981,8.02836324137391,0.681375607049277,17,12,28,63,26,19
"Gm11734:NR_167774.1-6","Gm11734","NR_167774.1-6",79.8024007433306,0.00589339608282482,15.133371196685,0.000100176748634996,0.0543076389834109,10.7264341329372,13.5360094069882,0.677315106870601,41,94,57,99,65,127
"Rbfox3:XM_030246134.2-1","Rbfox3","XM_030246134.2-1",2.85346636882433,0.139726145560486,14.5607774437755,0.000135710164590114,0.0660732741043451,3.49041332927999,0.746537389210317,-4.45125676628212,3,0,7,1,7,0
"Rbfox3:XM_030246137.2-1","Rbfox3","XM_030246137.2-1",2.85346636882433,0.139726145560486,14.5607774437755,0.000135710164590114,0.0660732741043451,3.49041332927999,0.746537389210317,-4.45125676628212,3,0,7,1,7,0
"Baiap2:NM_130862.4-14","Baiap2","NM_130862.4-14",737.454641980377,0.00378026674084533,14.6203741697811,0.000131485312895066,0.065242501603088,33.7620533249461,38.7625761742364,0.430263121272983,451,595,806,1181,542,1018
"Gm36372:XR_381302.5-3","Gm36372","XR_381302.5-3",5.33370040552873,0.110396955920408,13.9065814442335,0.00019212454341532,0.0834361147846412,3.69375125860734,2.88096428313844,-0.717545068841644,1,6,13,2,5,7
