"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Hoxd13",13006.5344709742,-0.77841592167255,0.134319341649339,3.68717794840973e-11,2.78518497251172e-08,8359,12544,9020,20202,17585,9713,17750,13600,14352,9819,15581,8939
"Hoxd3",498.622945705674,0.470495796153042,0.210463443842365,0.000473880859104375,0.0146436365476269,443,355,651,493,403,561,468,521,384,629,398,763
"Tfpi",317.385866485474,2.5013547019749,0.982769362022907,3.59628195671153e-06,0.000366647331204355,206,50,458,82,34,921,76,711,68,190,28,1068
"Chrm4",7765.48742494,-1.10200696213887,0.166373326344965,1.30993188326939e-12,1.48422559773773e-09,5403,7958,5047,13046,9792,5397,9634,7520,7465,6621,12710,3948
"Gm39876",200.763838812281,-1.34654204996603,0.254598232282215,4.17004852201485e-09,1.84887260014115e-06,88,342,173,484,193,54,164,123,163,145,395,128
"Prdm11",365.948773299758,0.371779186512428,0.208804197008341,0.00285533350811463,0.0498116664898521,434,182,368,334,229,581,333,558,284,416,288,458
"Trp53i11",80.6439585880891,-1.60469941776556,0.767037837047487,3.44476151393413e-05,0.00215508929683087,32,134,8,172,124,15,140,2,104,44,152,36
"Gm13889",3034.60958949201,-0.578648114013979,0.198418747881314,3.50888500340397e-05,0.00218182041598853,2023,4056,2538,6383,1633,1918,2020,1819,1517,4598,6019,3270
"Fjx1",3014.15991672652,-0.403642539957303,0.152684192074237,0.000278606724226767,0.00996874410632441,2318,2939,2599,4501,2938,2780,3154,3816,2353,3358,3952,2230
"Gm24644",23.3838509999016,1.04469613523251,0.703944999363506,0.000335647078860474,0.0115050792829569,27,5,27,5,24,24,32,41,37,16,8,32
"BB218582",90.3987662961337,0.877288865761867,0.337784115518916,4.85094711351543e-05,0.00279477588644484,56,62,204,119,44,61,42,78,33,146,74,207
"Fsip1",64.6440804215771,0.690888932242315,0.44339377198895,0.000890607601168608,0.0227525254856621,79,49,103,53,51,72,49,63,44,105,22,94
"Ankrd63",102.864045446586,0.611751741528785,0.372356564943637,0.000959189428916659,0.0238569126862869,120,84,114,81,44,133,67,164,56,172,48,182
"Dll4",90.5134491607667,0.675704286494493,0.471322494173564,0.00119067504648381,0.0274703818699516,46,86,142,114,14,88,16,59,14,184,56,318
"Sema6d",7800.5393379714,0.994653638283142,0.23070474880404,1.6063395712936e-07,3.30922177338718e-05,9358,4284,10164,6730,5469,8739,6517,12155,5913,9155,3751,13054
"4930583P06Rik",6.49887352551857,0.597489764214047,1.17221543099205,0.000693700266850867,0.018871751069174,5,0,14,1,0,10,1,11,8,7,0,22
"Slc24a5",15.6395506280116,0.918618539539859,0.762107547030257,0.000624456160478444,0.0177131896981333,20,3,27,7,27,13,20,22,10,23,4,14
"Ttl",15034.3092396631,-0.438184093597692,0.139949507590988,4.92837238169096e-05,0.0028234313124884,11997,15715,11356,25068,14758,11791,15671,11960,12497,18196,20663,14407
"Platr3",212.271852156929,2.49882290150186,0.589105439148315,1.31974503949648e-08,4.51867421290059e-06,150,35,431,58,26,502,77,710,56,154,38,393
"Snord17",141.66394378353,-1.01107224799264,0.286204051388034,2.990716033881e-06,0.000321029755321068,108,134,70,230,248,86,181,82,165,103,210,87
"Gm34181",14.8470583745099,0.678355011706695,0.630855355401583,0.00178511364056918,0.0360826488596715,9,4,25,12,6,13,8,23,4,27,12,45
"Rbbp9",1608.47110351981,0.323609100583732,0.145155452537577,0.00163956599897273,0.0339826712896838,1480,1144,2002,2124,1208,1555,1482,1943,1231,2125,1309,2185
"Syndig1",264.640088356872,0.774034575383602,0.563326273815187,0.000940600048789705,0.0235092377390515,532,82,141,189,65,543,238,370,170,517,60,344
"Ninl",122.897901958008,0.991701326282674,0.422063759717851,8.24865738920282e-05,0.00418449105292616,277,36,80,72,105,196,93,249,105,144,19,110
"Tmem74b",227.591721117058,-0.422539151762882,0.205838302825064,0.00104864654843941,0.0252297547471469,208,212,141,305,252,176,322,197,291,218,254,162
"a",117.53599465527,0.473979304885766,0.303858987221846,0.00213791383033803,0.0407575327859065,172,85,125,122,49,114,63,130,49,260,99,196
"Epb41l1",31068.7675997876,-0.387080400996204,0.175880461454817,0.000997855980421383,0.0244900995435549,23232,35828,23841,57059,24537,25938,26051,23160,21057,45061,46814,31089
"Dlgap4",12817.7270680089,-0.247804909388882,0.10439445759977,0.00221869535261817,0.0418209720116891,7374,15443,16385,24749,7233,7655,8309,9898,6833,19125,21280,15166
"Samhd1",7746.41008596994,-0.30768386595149,0.119072645346008,0.000736993464567537,0.0196719374796313,6973,5960,6036,10875,8523,7100,9534,9933,7880,8048,8207,5428
"Mroh8",331.815890738555,-3.52160711392733,0.27915613230975,4.10557925500061e-38,4.18666444528687e-34,26,483,33,822,672,39,547,70,549,54,594,75
"Gm14204",201.938885452127,1.07965599250372,1.0458102631869,0.000355554488878246,0.012025760863469,357,25,126,92,21,697,70,112,30,360,14,554
"Mafb",243.161759705369,1.50227282963893,0.435730321248153,3.03321921934717e-06,0.0003222005519718,307,92,185,146,117,476,192,326,148,346,54,586
"Snx21",1592.71385462368,-0.490821494474543,0.1998510368114,0.000232623605210833,0.00875342883445562,1111,1593,1303,2540,1635,1117,1708,1757,1409,1960,2398,1027
"Gm46775",342.985958217969,0.640497063377141,0.304320219874018,0.000282874971662068,0.0100509321377141,479,177,359,338,278,360,344,524,319,419,131,456
"Slc12a5",2445.88863157294,0.367298241963377,0.197571767882728,0.00253186592000491,0.0455356308981483,2694,1965,2619,2845,1616,2499,1952,2879,1827,3648,1655,3807
"Cyp24a1",1960.30208072179,-0.897736018794326,0.229168538708552,6.03156973476332e-07,9.46260498003831e-05,870,2649,1197,4445,1972,715,1954,753,1558,2689,3738,1739
"Gm36462",13.2832490560529,0.573345493508233,0.697974002492582,0.0026637160887077,0.0471584111364527,5,4,22,8,0,22,3,14,6,30,8,45
"Gm36417",80.370379872559,1.89392658410753,0.454300374050225,9.69875982785643e-08,2.17369457900145e-05,100,24,142,68,17,113,33,108,25,135,14,222
"Prelid3b",14518.8211925217,-0.236546045636479,0.0844030656994051,0.000690532257154049,0.0188532869941859,12757,12436,12548,21432,14412,11836,16051,16048,13434,16894,16612,13202
"Zfp831",991.229214018374,0.553083177954008,0.214306418797125,0.000111182871311884,0.00510715013604926,1086,696,1117,1330,628,934,669,993,518,1998,754,1646
"Gm14444",46.748535559567,0.750565177145439,0.61683384599063,0.00121479939839635,0.0278693292804201,39,10,86,28,54,48,53,112,45,25,15,53
