"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Gm39747",0.664716933828992,-0.000132781508881167,0.15631097250234,0.98494083127116,NA,0,0,0,0,2,2
"Utp25",13185.3203656475,-0.0306363341570952,0.114907528631013,0.726533487892342,0.922750307471427,10292,12493,16952,14575,13134,13297
"Irf6",37.2647634628274,0.0355923178751164,0.157344697814418,0.349889401372612,0.777682645052631,22,12,32,60,35,72
"A130010J15Rik",2744.3090480495,0.0200846265041597,0.12507055964425,0.781682552013998,0.939362032665862,1998,2745,3617,2723,2531,3210
"Traf3ip3",55.7582877829644,0.0998600929889287,0.193592737906156,0.0653074657609448,0.465247284888462,36,36,46,82,34,111
"Hsd11b1",25.0251957445739,0.0099739021224502,0.156772479860843,0.206539144619303,0.674458733621582,4,0,14,26,0,115
"G0s2",1902.42807003024,0.024980177263891,0.148479567100598,0.642100312134863,0.89278810607112,1322,644,2344,3097,1707,2849
"Lamb3",22.9034799700233,0.0370996511282219,0.160384443546979,0.189461903530105,0.662439275759757,20,5,15,51,6,46
"Gm51741",0,NA,NA,NA,NA,0,0,0,0,0,0
"Camk1g",4.2526319038192,0.0198210877171523,0.158034313843333,0.0709616745305962,NA,0,0,0,14,2,12
"Gm31753",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir205hg",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir205",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm31870",0,NA,NA,NA,NA,0,0,0,0,0,0
"4930503O07Rik",0.302619175075059,0.0037393547763208,0.156455742039499,0.674172384734039,NA,0,0,0,1,0,1
"Gm31988",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51784",5.68094145343171,0.0187560570585429,0.15674133893614,0.367272940197325,0.785156408256356,1,4,7,5,4,15
"Plxna2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm46202",33.310805421648,-0.0228016572960286,0.152452253514057,0.588751431478653,0.872607812637069,13,26,55,39,48,30
"Mir3962",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39748",0,NA,NA,NA,NA,0,0,0,0,0,0
"Cd34",1.62519945677561,-0.00995581954242116,0.156852829427951,0.134289270460484,NA,0,0,2,0,8,0
"Gm16897",19.0861173692005,-0.000908205174905763,0.15233741912393,0.97665480384918,0.993998501667822,15,30,27,13,16,14
"LOC118567690",38.6593109254773,0.0509851319134455,0.16469109369485,0.145311458591595,0.611295007878593,21,68,51,20,9,66
"A330023F24Rik",87.918203762735,0.061522685556453,0.166901052683511,0.171597930108361,0.643017235342994,66,160,94,49,37,117
"Mir29b-2",0.593526134606514,0.00302233788786262,0.156352881001299,0.701944055020064,NA,0,1,1,2,0,0
"Mir29c",8.21640213253228,0.0144319879963958,0.156484114515163,0.406431459586559,0.803062276771699,7,26,8,2,0,4
"Cd46",218.149381861815,0.0482629436962262,0.151579672321719,0.425332648565309,0.812071388442225,176,275,256,162,154,291
"Cr1l",7641.31974468415,0.045546377615648,0.122641281044749,0.567070024164624,0.867301683010422,5431,7871,9337,9812,7422,7136
"Gm32313",40.1209366263017,0.0669212109102759,0.169957710104351,0.143735976539414,0.609928483614563,21,53,41,28,28,73
"Cr2",2.77619365736702,0.0162234869615957,0.157278262086288,0.173372241722647,NA,2,6,0,2,0,6
"Gm29726",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC100041708",1.81746220183255,-0.00835083580770694,0.156528042980541,0.364512947709028,NA,2,0,8,0,0,2
"LOC108167387",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568472",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC101055663",2.27167867984287,-0.00524850768899667,0.156228326364825,0.612873377375465,NA,0,4,4,0,6,0
"LOC101055672",4.68307427657495,-0.0354764008647845,0.161961135184965,0.0192947587155924,NA,10,0,10,0,5,2
"LOC118568470",1.94638092513884,-0.00905616037859253,0.156579188904363,0.332751682457051,NA,5,0,4,0,0,2
"LOC105242404",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568471",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC677525",0.762107467509013,-0.000672846939161767,0.156305367640008,0.917522190891868,NA,2,0,0,0,0,2
"LOC118568473",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568475",2.89089999531709,-0.0212203325308969,0.158145145238239,0.099495242083901,NA,5,0,6,0,4,2
"LOC102636478",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568474",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC100503923",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC100041034",1.58766937032951,0.00192107423154486,0.156060335343822,0.864169621671492,NA,2,0,2,4,0,2
"LOC100041057",2.96291881248771,0.00086828690632553,0.155678413172755,0.957160161795012,NA,2,3,5,7,2,0
"LOC102636558",0.604178876879567,-0.00451436983339012,0.156502627745402,0.478345774858428,NA,0,0,2,0,2,0
"LOC105247076",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC671917",0.604178876879567,-0.00451436983339012,0.156502627745402,0.478345774858428,NA,0,0,2,0,2,0
"LOC100041903",0.561723219239615,0.00427598425793886,0.156488118440999,0.514323495421776,NA,0,0,0,4,0,0
"LOC100041877",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC102637495",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC102638047",0.588215424111195,0.000349796666543292,0.156317446477564,0.962919956978394,NA,0,0,2,0,0,2
"LOC102637781",5.04148022854862,-0.00679487018234121,0.155130661593121,0.751259836781637,NA,5,5,8,7,4,2
"LOC664787",0.762107467509013,-0.000672846939161767,0.156305367640008,0.917522190891868,NA,2,0,0,0,0,2
"LOC100038987",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC102633783",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568468",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC108168674",0,NA,NA,NA,NA,0,0,0,0,0,0
"Csprs",4.33792419033617,0.0034395572983733,0.155580611331366,0.841602494231012,NA,0,2,12,10,2,4
"LOC105242429",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC102633472",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC108168673",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC115489309",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC100039029",0.604178876879567,-0.00451436983339012,0.156502627745402,0.478345774858428,NA,0,0,2,0,2,0
"A730008H23Rik",18476.6606831491,-0.014016970262617,0.119903276830966,0.853739490910725,0.960880782935323,13772,15858,24165,24889,18485,17064
"Fam171a1",6576.06898587028,-0.0666950350008582,0.139092093729275,0.391482281496235,0.795368288629357,5227,4615,8806,9174,7039,5858
"LOC118568494",40.0640423127276,0.0605511991581199,0.16617042307967,0.181803688702149,0.655132992032424,24,66,52,38,18,47
"Nmt2",15019.2419178624,0.0210484140590323,0.120379417897786,0.788509141014828,0.941456955613507,11765,12689,19685,19608,12980,15979
"Gm22005",0,NA,NA,NA,NA,0,0,0,0,0,0
"Rpp38",3542.47726861686,0.0425878963866332,0.141178126129106,0.60895019180481,0.880723835942476,2609,4812,4306,3124,3214,3379
"Acbd7",23.5906352186573,0.0104919322152671,0.152474480584328,0.773037556234692,0.937428707828473,18,36,24,12,23,27
"Olah",1.92695009035764,-0.0137279992348973,0.156971829876346,0.230252368726569,NA,2,0,4,2,4,0
"Gm39750",0.949705790503722,0.00343471334230937,0.156294763185455,0.678368301070913,NA,0,2,2,0,0,2
"Meig1",26.8493068344836,0.0242064805964357,0.154819528094063,0.497397600950113,0.836858048397167,26,48,24,32,15,14
"Dclre1c",1817.56329326902,0.0447643163283769,0.141194567215204,0.440327961811491,0.818444151784773,1346,2238,2178,1515,1540,2197
"Suv39h2",4304.17001719159,-0.0290786698276998,0.132871927631819,0.69049857642648,0.911202916384257,3537,4808,5989,3769,3867,4215
"Hspa14",29235.8627867447,0.0176699232225962,0.115879005833635,0.823084317735169,0.95093634408368,20976,25499,35829,35730,30013,31967
"LOC118568495",215.626890962704,0.231445401944825,0.335822494052423,0.03007766248365,0.320289429882,161,281,178,221,141,315
"Cdnf",369.938946195956,0.291091048657825,0.37513286762,0.0227489173270198,0.278991794512784,218,470,427,368,224,562
"LOC108168726",0,NA,NA,NA,NA,0,0,0,0,0,0
"Fam107b",3618.78918781352,0.0710018281034439,0.13000185419498,0.385501471058916,0.793779038447922,2693,3770,4648,4510,2973,3672
"Gm36031",32.1045619911753,0.092278551694327,0.195919929072164,0.0096979597989672,0.175414427108447,6,64,12,18,24,68
"Frmd4a",97060.3822430815,-0.0899798415872772,0.130351525832007,0.285086122567907,0.740780967747455,78018,87346,128586,97216,103316,98658
"1700080N15Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39752",8.2306129991111,0.00910563655829204,0.155158221611541,0.688415435327456,0.911008858543034,10,2,4,11,5,17
"LOC102639987",62.5247596784761,0.0620582336477481,0.16802927718893,0.152497110409538,0.619923997546483,33,122,51,30,52,83
"Gm23691",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39751",23.407435062356,0.00352102535770366,0.150780715840147,0.932818310865436,0.984323038061107,14,16,38,32,20,28
"Gm13179",17.6866364699048,0.00927433011282749,0.154264495400859,0.742103376317563,0.928391390459699,8,18,10,40,29,5
"Prpf18",12314.0775788426,0.0213950626230032,0.121286769840371,0.786628968665711,0.940662926250527,9585,12498,15291,12667,11361,13737
"Bend7",1555.95874670296,-0.0191474993855792,0.122350073480001,0.801664961754236,0.945181751786864,1209,1470,2019,1562,1528,1726
"Gm36389",0,NA,NA,NA,NA,0,0,0,0,0,0
"Sephs1",21595.612855099,-0.0894466460026998,0.129841907090784,0.284152350720654,0.74000977423688,17260,17577,28393,26176,23272,20096
"Gm46728",6.64014817656388,0.0115598389903455,0.155209062831017,0.6284173779694,0.888000620263157,6,5,6,6,4,13
"Phyh",2681.40129102009,-0.0194953162222488,0.1430124038746,0.744274124194186,0.92925287967789,2016,1201,3429,3267,2925,3787
"Gm13194",27.1224991143951,0.00442762334853128,0.15156474922553,0.909449769416819,0.978734621543654,12,12,39,42,32,36
"Ucma",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mcm10",18336.7555650672,-0.107091911116616,0.149419904591227,0.211071612830966,0.679955403610169,14275,15236,24405,23205,21323,14501
"Optn",8037.1195074559,-0.0104103791593871,0.112726863607586,0.892357852935045,0.973594608756915,6156,7492,10104,9507,8044,8008
"Gm39755",0.618484452585907,0.00242806811115026,0.156370516522408,0.723691007337676,NA,0,0,1,0,0,3
"Ccdc3",2.39646949624271,0.00675326430824418,0.155980901323872,0.646215047515678,NA,0,2,4,6,2,2
"Gm23118",0,NA,NA,NA,NA,0,0,0,0,0,0
"Camk1d",15553.9535686897,0.0211788794292373,0.129818009882506,0.779745950689762,0.938881267817171,12256,13804,19771,15100,13610,20543
"Gm36906",2.6809896333454,-0.00311344553489541,0.155975588418278,0.802163777092514,NA,6,3,2,4,0,0
"Gm36853",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm29857",3.93145724767369,0.0014105867385694,0.155391438414575,0.939416913418552,NA,6,6,2,2,2,4
"Cdc123",24488.625729447,-0.05005213184749,0.123781237425671,0.529167141264405,0.852565722259359,18533,20984,32141,31452,26055,21882
"Gm29984",0,NA,NA,NA,NA,0,0,0,0,0,0
"Nudt5",31787.3459344388,-0.129356878696107,0.163763400228769,0.171540084085089,0.643017235342994,24656,26741,43553,40032,37250,23748
"Gm13199",22.9257681875695,0.0299947177613929,0.154659277409444,0.466166174877843,0.828255113381696,12,31,31,26,18,24
"Sec61a2",9699.2946514628,-0.163861500625808,0.15743689282381,0.0848223998583106,0.517069442578163,8093,8859,13586,10029,10523,8234
"Gm13267",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Dhtkd1",833.418749461224,0.00755099191882028,0.132355215497904,0.917744063476974,0.980283256635157,619,943,1179,759,716,885
"Upf2",3843.68929383025,0.0653934409088217,0.159281319625639,0.293099903665129,0.746562400803797,2728,5315,4313,2286,2989,5471
"Gm30136",0,NA,NA,NA,NA,0,0,0,0,0,0
"Proser2",824.749114710636,-0.395641985629402,0.226579510980833,0.00611502593716649,0.134880945076765,788,641,1185,866,950,597
"Gm10857",0.64875348106062,0.0043601365327871,0.156494072195648,0.482607563675988,NA,0,0,0,0,0,4
"Echdc3",1238.48214180206,0.00140489552923545,0.118663120510776,0.987430067622515,0.996574026453431,915,1164,1546,1553,1260,1180
"A230108P19Rik",0.310600901459245,-0.000356449292639892,0.156331543625054,0.983366046124896,NA,0,0,0,1,1,0
"LOC118568496",58.5582311369343,0.0610999742210909,0.161366377361056,0.268789952023193,0.728302973589537,34,72,67,52,49,84
"Gm13383",8.53163463359033,-0.0218942377733852,0.156928104087299,0.349332876442221,0.777644020656549,2,8,12,6,21,4
"Gm46730",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Usp6nl",13111.9854115147,-0.0910501817871218,0.142597438173111,0.243868969374674,0.709209340317542,10725,13032,18390,11746,13616,12434
"Gm13388",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Gm13391",17.1642156219915,0.0297621960199185,0.157411864534026,0.338826555322876,0.771635027151762,6,19,28,12,8,35
"Gm52546",16.8152038337156,0.0394096340428616,0.160348003010256,0.220755926548474,0.690704365797963,4,24,19,12,14,31
"Celf2",10.2608974674145,-0.0188520381836201,0.156906283691862,0.33565006586496,0.769475967169771,23,5,8,16,6,0
"5031426D15Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm30904",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm30957",0,NA,NA,NA,NA,0,0,0,0,0,0
"1700061F12Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm13219",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm13218",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118568497",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gata3",2409.6502818347,0.457292289680217,0.189272650342176,0.00121341147794727,0.0477018003556033,1519,2485,2518,3503,1805,3063
"4930412O13Rik",1738.3110340299,0.125422948100322,0.190869024888196,0.117977699307654,0.581239847899148,1301,2227,1755,1451,1272,2462
"9230102O04Rik",28.8556534337011,0.052041576753264,0.160833513728123,0.268127891262592,0.72821615047136,17,37,27,41,26,29
"Gm13262",1.60802121928443,0.00348447186457837,0.156104150736704,0.75478965908239,NA,0,4,2,2,2,0
"Taf3",6439.76774684744,-0.0121659374367232,0.1186214137666,0.875823587947547,0.967588729959595,5034,5649,8235,8525,6249,5981
"Gm31290",5.2117056482116,0.0171195641502658,0.156418296866798,0.412622817064649,NA,5,4,3,12,2,6
"Atp5c1",68693.9183297202,-0.0468628331122722,0.145239971982407,0.563214030745193,0.865044856164873,51139,45865,87263,114313,80257,49260
"Gm23608",2.48076728092423,-0.0116489235407161,0.156267708316956,0.46594266172358,NA,3,1,4,2,3,2
"Kin",2464.97628886542,0.021418798853183,0.120341678988937,0.784033412876369,0.939690182487723,1916,2426,3042,2624,2293,2757
"Itih2",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Itih5",0.642351976012335,0.00462590341437223,0.156501615865711,0.471515719702696,NA,0,2,0,2,0,0
"Gm31496",22.7825730401033,0.0229197368566809,0.154851387851821,0.506671665758442,0.841072491780123,20,26,32,21,6,34
"Gm39758",47.1123365886781,-0.00987785589754218,0.147565555157659,0.841389041844466,0.957047723034546,28,42,66,41,55,59
"Gm13261",2080.95827350567,0.108297651578746,0.164774275540355,0.192937306749274,0.664718047740632,1412,2721,2411,2003,1756,2355
"Sfmbt2",13282.2145283832,-0.0560304421432087,0.12771158514394,0.488477891017895,0.834583033552296,10913,12259,18424,12931,12491,14218
"Mir466m",0.642429631738466,-0.0046632835905144,0.156508759433201,0.459271019753581,NA,0,0,1,0,3,0
"Mir466f-1",0.614753963426489,-0.0025652024028278,0.156328525850106,0.693037179295507,NA,0,1,2,0,1,0
"Mir669f",0.948241016926726,-0.00646965435421904,0.156594116023712,0.309178577120544,NA,2,0,0,0,3,0
"Mir669e",0.527677367161769,-0.00432601592240608,0.156493874920783,0.513609036760449,NA,0,0,4,0,0,0
"Mir669b",0.443049979884963,0.00408681306275565,0.156475793529037,0.573816842260325,NA,0,0,0,2,0,1
"Mir669d",0.965408094140472,-0.00666642956436935,0.156605373259117,0.297472905611718,NA,2,0,4,0,0,0
"Mir466f-2",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Mir669l",0.62120180291849,-0.000405318184169233,0.156317074783743,0.949554660496833,NA,0,0,0,2,2,0
"Mir669d-2",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Mir466f-3",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir297a-2",0.180745183196264,0.00310074612523339,0.156428548376499,0.829882553921129,NA,0,1,0,0,0,0
"Mir466o",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir467c",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Mir466b-1",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Mir669a-3",0.395758025371327,-0.00412949758726961,0.156480166501566,0.583880205958465,NA,0,0,3,0,0,0
"Mir669k",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"Mir467a-1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466b-8",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Mir669a-1",0.437730726978703,-0.00412998642575938,0.156480519528188,0.572330457166888,NA,2,0,0,0,0,0
"Mir669g",0.62120180291849,-0.000405318184169233,0.156317074783743,0.949554660496833,NA,0,0,0,2,2,0
"Mir669j",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir467a-2",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Mir466e",0.131919341790442,-0.00307471390746001,0.156428808187635,0.79752438517304,NA,0,0,1,0,0,0
"Mir669a-4",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir467b",0.218865363489352,-0.00344134280471437,0.156443766188497,0.79752438517304,NA,1,0,0,0,0,0
"Mir466c-1",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Mir669a-5",0.842584828859423,0.00452852459685639,0.156506319347678,0.42205688810001,NA,0,0,0,6,0,0
"Mir467a-3",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466c-2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-6",0.983015633669327,0.00472230321691171,0.156516471369658,0.384020962199377,NA,0,0,0,7,0,0
"Mir467a-4",0.263838683580884,-0.00379191282105339,0.156459810701628,0.677553349884161,NA,0,0,2,0,0,0
"Mir466b-4",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-7",0.41278095141025,0.00140035634153165,0.156339574370781,0.873206589127293,NA,0,0,1,2,0,0
"Mir467a-5",0.302089438439783,-0.00388323145622979,0.156465101034514,0.653744927509757,NA,0,0,1,0,1,0
"Mir466b-5",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669p-1",0.131919341790442,-0.00307471390746001,0.156428808187635,0.79752438517304,NA,0,0,1,0,0,0
"Mir467a-6",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm25285",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-8",0.983015633669327,0.00472230321691171,0.156516471369658,0.384020962199377,NA,0,0,0,7,0,0
"Mir467a-7",0.302089438439783,-0.00388323145622979,0.156465101034514,0.653744927509757,NA,0,0,1,0,1,0
"Mir466b-6",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-9",0.421292414429711,0.00405263010375001,0.156473628606642,0.585321688311165,NA,0,0,0,3,0,0
"Mir467a-8",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Mir466b-7",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669p-2",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Mir467a-9",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466b-2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-10",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Mir669a-11",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir467a-10",0.170170096649341,-0.00326087998036499,0.15643595490965,0.79752438517304,NA,0,0,0,0,1,0
"Mir466b-3",0.923435392533095,-0.00461656894106067,0.156516695140373,0.389727923170451,NA,0,0,7,0,0,0
"Mir669a-12",0.272350146600346,1.29329822367921e-05,0.156330714532682,0.983366046124896,NA,0,0,1,1,0,0
"Mir467e",0.302089438439783,-0.00388323145622979,0.156465101034514,0.653744927509757,NA,0,0,1,0,1,0
"Mir466p",0.510510289948023,-0.00428022470401911,0.156490659300025,0.526420931377539,NA,0,0,0,0,3,0
"Mir467d",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466",0.680680386597365,-0.00445706745674319,0.156503816859536,0.458497067915908,NA,0,0,0,0,4,0
"Mir297c",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669c",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669a-2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir297b",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Mir466d",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669m-1",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir669m-2",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466n",0.340340193298682,-0.00396845600612369,0.156470178875199,0.629810732345239,NA,0,0,0,0,2,0
"Mir669o",0.456296082320752,0.00164235949404468,0.156345602474472,0.837770865677156,NA,0,0,1,0,0,2
"Mir466g",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir466h",0,NA,NA,NA,NA,0,0,0,0,0,0
"Mir297a-3",0.332358466914496,-0.000142751809130884,0.156330620238823,0.983366046124896,NA,0,0,0,0,1,1
"Mir466l",0.561723219239615,0.00427598425793886,0.156488118440999,0.514323495421776,NA,0,0,0,4,0,0
"Mir297a-4",1.10982199483048,-0.000879545846054813,0.156153270710903,0.924824099789062,NA,2,2,0,1,1,0
"Mir669i",8.30695228046729,0.00720823346710926,0.155082762018649,0.747184962330294,0.929742647879352,6,2,10,4,6,23
"Mir669h",12.7859242849757,0.024689485962894,0.157471529557581,0.30448759580489,0.753141933145332,10,28,13,4,2,18
"Gm31729",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm23877",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm13264",0,NA,NA,NA,NA,0,0,0,0,0,0
"Prkcq",0.62120180291849,-0.000405318184169233,0.156317074783743,0.949554660496833,NA,0,0,0,2,2,0
"LOC118568498",0.642351976012335,0.00462590341437223,0.156501615865711,0.471515719702696,NA,0,2,0,2,0,0
"8030442B05Rik",1.34145664296002,0.0026038835142508,0.156292268245641,0.726560002157319,NA,2,5,0,0,0,0
"Gm13293",1.86254201945497,0.00194129636073124,0.156151180053943,0.842752283320043,NA,2,6,0,0,2,0
"Gm13291",0.965408094140472,-0.00666642956436935,0.156605373259117,0.297472905611718,NA,2,0,4,0,0,0
"Gm31990",1.11589279127296,-0.00291078615353552,0.156318890308037,0.686650369218233,NA,0,0,6,0,0,2
"Pfkfb3",5651.39205923167,-0.067494959627623,0.131207974023933,0.402978798855729,0.800672259121831,4391,4869,7895,7253,5761,4747
"Gm52500",33.2418290991126,-0.031466024736367,0.154960560420732,0.443630457837674,0.819569093655332,31,19,53,20,31,49
"Gm10851",0.49340970818297,0.00182230723753801,0.156350761714051,0.8108729049018,NA,0,2,1,0,0,0
"Rbm17",30150.123726752,-0.00591258506351596,0.121038547785232,0.852088696248202,0.960122568211057,23188,32055,39815,31524,28989,28787
"Il2ra",4.300412508415,0.000211228731522979,0.155497812308764,0.992671968729947,NA,4,0,2,6,6,8
"Gm39760",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm39759",0,NA,NA,NA,NA,0,0,0,0,0,0
"Il15ra",887.992772931701,0.207268802938749,0.297594506021438,0.0372174944390746,0.356167232195328,622,1225,924,776,510,1312
"Fbh1",13985.2855257163,0.0256957418346417,0.114770573276144,0.746690414722483,0.929742647879352,10456,13013,17536,17886,13290,13923
"Gm46731",115.482278708421,0.809207522726611,1.35957842137923,0.00594349056815564,0.132096991353028,52,207,99,58,29,250
"Ankrd16",2875.36225053537,0.17751479842074,0.23272874234697,0.0603316713592582,0.449647232726002,2051,3472,3112,2656,1903,4264
"Gm34768",1.30680776070971,-0.000784825412813116,0.156090501513663,0.939207357235542,NA,2,0,2,2,0,2
"Gm32204",0.263838683580884,-0.00379191282105339,0.156459810701628,0.677553349884161,NA,0,0,2,0,0,0
"Itga8",1742.2719864178,0.104123949515669,0.160457178148291,0.200717908557959,0.671054457306469,1315,1674,2296,2444,1109,1955
"E030013I19Rik",43.7096517088619,0.0509158544167927,0.161556308271519,0.246970367354934,0.71156478881503,38,36,50,69,14,63
"Mindy3",11310.6985668165,-0.014258867025488,0.126999652012133,0.846070585439628,0.958473755871809,9083,11504,14915,10249,10469,12671
"Pter",1717.08521582285,-0.00349749920783627,0.138723260382738,0.954415950244832,0.989166479627093,1133,2288,2207,1354,1906,1541
"C1ql3",145.461240829028,0.722495526850658,0.632743560210188,0.0053706480031304,0.125231235666137,53,313,124,142,96,152
"Rsu1",8679.29139751526,-0.138945700726604,0.169988586431115,0.121446419242895,0.586062273371048,6853,8293,11406,9165,10753,6529
"Gm13270",17.3259831189843,0.00667343408706157,0.1522389822691,0.854833078888397,0.961239368636615,9,17,27,15,16,24
"Cubn",84.1328435851397,0.00741377264615805,0.149517639155399,0.870659562719419,0.965858365493927,62,147,88,66,92,46
"LOC115489436",21.0017721890993,0.0241674699803735,0.1550749995994,0.486052202885382,0.834236978438934,16,32,17,11,18,30
"Trdmt1",2018.87082379999,-0.0230560592394845,0.131247149604201,0.745173404786457,0.929411330121857,1636,2187,2435,1751,2095,2108
"LOC118568499",114.722633414792,-0.0478991626309111,0.151361302236299,0.425570134440123,0.812071388442225,100,129,185,94,97,95
"Gm9875",1.52220182615629,0.00343764940973951,0.156311721635317,0.651760486966864,NA,2,6,0,0,0,0
"Vim",249087.516490475,-0.199564314428165,0.261743839448924,0.0466478923509921,0.394946997133577,209350,213541,354158,296230,329179,125379
"St8sia6",0,NA,NA,NA,NA,0,0,0,0,0,0
"Hacd1",7731.18169043913,-0.0471355373398986,0.128365805128135,0.499900193249782,0.838026999441499,5984,5672,10003,10138,8325,7623
"Stamos",159.314528480531,-0.0272527320122441,0.14605241703554,0.637598521135236,0.89079102232753,113,208,235,122,167,126
"Stam",9864.36350055069,-0.051561026567732,0.137439481173506,0.489018904239088,0.834735166270806,8213,11163,13843,9078,9316,8403
"Tmem236",139.621759126576,0.107463965886322,0.189945125126175,0.109445236247301,0.565605662399617,96,101,139,172,97,255
"Mrc1",39.3319474261439,0.0611405432489085,0.168890656136267,0.120781774085426,0.585506620964533,10,49,24,33,47,77
"Mir511",0,NA,NA,NA,NA,0,0,0,0,0,0
"Slc39a12",0,NA,NA,NA,NA,0,0,0,0,0,0
