"","baseMean","log2FoldChange","lfcSE","pvalue","padj","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Plek2",219.714483820712,0.230738657554635,0.329787117545132,0.0311854965870828,0.325850485320038,115,162,221,347,178,352
"Gm46359",19.5718255449394,-0.000408334082070437,0.151904818326776,0.98778364204448,0.996580822033711,19,25,21,13,17,21
"Gm46360",10.0252931422596,0.0147113693648468,0.154769983910285,0.604681018986683,0.879068823894786,10,13,7,9,7,13
"Tmem229b",14408.0028592594,-0.00728426808929443,0.120505213751631,0.867809826884381,0.96444398933875,10949,13534,17696,18807,14994,12568
"Plekhh1",4934.03068502441,0.117533950183031,0.144421429222525,0.185010827140556,0.657030777908273,3641,5404,5830,6247,4085,5049
"LOC118567971",0.924295837774168,0.000393508298303951,0.156283572197946,0.953731544052989,NA,2,0,0,0,0,3
"Pigh",2024.94841550657,0.11919575924867,0.152841260065154,0.176736024472698,0.647965292580336,1415,2343,2301,2231,1795,2278
"9230116L04Rik",300.56881985466,0.10760175976018,0.172833935702378,0.171890727179312,0.643266050374085,218,391,297,298,258,353
"Arg2",7.34915489425286,0.0055051754498493,0.154478336829938,0.83011870866684,0.953651361857224,2,7,12,10,8,8
"Gm40462",81.7823775458229,0.173140767962645,0.28350071318393,0.0296963779854505,0.318344752200252,53,118,68,79,51,124
"Vti1b",11705.3817316655,-0.117131680407669,0.136937871786561,0.181505077619448,0.654732203405824,9431,10101,15797,13508,12688,10331
"Rdh11",14425.4757435182,-0.126775243757604,0.161719722872994,0.163969672979616,0.632816779568869,11181,10882,19521,18629,17144,11732
"Rdh12",2.83113244943704,0.00962252690746004,0.156406519347146,0.437816203066376,NA,2,0,0,10,2,4
"Zfyve26",6132.61054713339,-0.0637624795331213,0.131634079214981,0.419820814078033,0.809034001222001,4961,6286,8432,5966,6092,5696
"Rad51b",972.924521971453,-0.143844067837924,0.163664996361,0.121370681743618,0.585908705899043,755,866,1310,1017,1173,838
"Gm36048",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm3596",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Gm36132",0.444583866777148,-0.000934762014972422,0.156330915583232,0.858154424602857,NA,0,1,2,0,0,0
"Gm46361",0.280861609619808,0.00368223375894602,0.156452693694698,0.691484860678898,NA,0,0,0,2,0,0
"Gm46362",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51985",15.3415946175947,0.0513031600198423,0.1657799428709,0.105269111122362,0.55772673960778,2,13,14,27,13,29
"9430078K24Rik",49.8370774739062,0.0511292991214386,0.162220122538289,0.230364565651564,0.698391259733099,21,20,53,87,45,91
"4933435C09Rik",5.82432975685399,0.0214379180004666,0.157723663969789,0.209412168017784,0.678115279532759,5,14,0,4,2,8
"Gm36660",58.3677532577674,2.39957817578105,0.737042650835097,4.1232656362166e-05,0.00429373337663563,10,38,34,103,4,183
"Gm36834",0,NA,NA,NA,NA,0,0,0,0,0,0
"Zfp36l1",209.563158970512,-0.00375281783635415,0.140552692830541,0.949451094943835,0.988299101583545,165,184,232,168,228,291
"2310015A10Rik",1110.92113519639,-0.0107973165401937,0.133486437645468,0.875987970870304,0.967614980292756,801,1111,1343,922,1237,1342
"Actn1",50740.7241295176,-0.0623995769266272,0.136814324585053,0.421297401175054,0.810098487619617,39456,39799,68122,71115,54551,41035
"Gm29952",68.3344178194611,-0.0427469843021843,0.154492652999331,0.407472925531345,0.80352424744397,36,49,102,95,100,48
"Dcaf5",9659.41527108384,-0.0374687258998207,0.120316044845417,0.625538360804865,0.887631778864898,7591,7946,12278,12423,9955,9270
"Mir1843a",8.14455016121123,-0.0245616963688051,0.158003084185058,0.230694470070648,0.698391259733099,3,0,19,8,16,7
"Scarna3b",8.66603469977564,-0.023963047771104,0.157738500193745,0.260705346600358,0.724008376526432,4,0,19,9,16,8
"Gm46363",31.4170979072564,0.0141439026563768,0.153884830280079,0.662940892034538,0.901897077761733,4,53,47,22,40,30
"Exd2",3465.3455908531,0.0357195532721021,0.12560665435075,0.646539436224027,0.895117331701081,2562,3593,4065,4582,3416,3047
"Gm26777",4.0940462918643,-0.0183616587651207,0.157097278124618,0.290718945113041,NA,4,3,7,4,7,0
"2310002D06Rik",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Galnt16",24.3109359588361,0.0036705286307233,0.152225458282318,0.919912101513166,0.980614765265054,18,8,37,32,18,40
"Gm23817",0.404269488390788,-0.00132297459900228,0.156338197174321,0.858154424602857,NA,0,0,2,1,0,0
"Erh",48462.6418085157,-0.0317951896685823,0.127434961821245,0.513527656458337,0.84468546146856,35922,42120,62565,64798,54388,39332
"Slc39a9",15887.9769275328,-0.0273647492471506,0.125153841667614,0.714727228688362,0.918819207795895,11941,12185,20806,21932,16383,15165
"Plekhd1os",0,NA,NA,NA,NA,0,0,0,0,0,0
"Plekhd1",12.1409764624016,-0.00855546695776452,0.153954606441358,0.765954915919408,0.93534785483571,11,4,10,18,17,14
"Gm51986",0.32437674053031,0.00379213620402498,0.156458648721461,0.657770619723928,NA,0,0,0,0,0,2
"Ccdc177",180.497110222087,0.226067916309632,0.249837965518732,0.0422317368370024,0.377700332858385,120,196,190,252,138,215
"Susd6",7197.18591684839,0.0127331474936841,0.116074004804847,0.872189584742682,0.966319134187962,5573,6942,9024,9056,6781,6823
"Gm23298",0,NA,NA,NA,NA,0,0,0,0,0,0
"1700052I22Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm20337",272.596557917765,0.058959034907648,0.143234547187388,0.424455633471402,0.811895740194462,215,301,304,280,233,321
"Srsf5",39975.5101495218,0.0541714896422306,0.125429010915427,0.491110697668214,0.835428678049406,30615,41577,48834,43132,35058,44979
"Slc10a1",8.10098666253834,0.0202701260970132,0.156248981168738,0.426252683190892,0.812332663473171,6,9,3,15,8,8
"Smoc1",5229.550570354,-0.0295019469197031,0.134087465561533,0.679822727068422,0.907393896400433,3570,4951,6590,7138,6200,3863
"Mir3067",2.77440671759517,0.00761821759506673,0.15594888050544,0.626368033736716,NA,0,3,5,3,2,5
"Slc8a3",258.231477899229,0.296264628374627,0.536727447192416,0.0167705313369564,0.236143219828364,142,166,275,479,145,425
"Gm3693",0,NA,NA,NA,NA,0,0,0,0,0,0
"LOC118567972",0.64875348106062,0.0043601365327871,0.156494072195648,0.482607563675988,NA,0,0,0,0,0,4
"Gm20498",3644.77587326675,0.0814342810395106,0.130859308622754,0.327196314925365,0.764920154412609,2555,3956,4434,4208,3333,3869
"Cox16",2294.4749301543,0.389186298741381,0.216433103058111,0.0058399932541183,0.130650638556772,1443,2788,2561,2886,1663,2766
"Gm4787",42.9391511029756,0.0172287641162235,0.150953587268062,0.695569235856963,0.912708156099403,33,41,59,29,29,71
"Adam4",22.0211090490364,0.0589107096047432,0.167784875541413,0.127893258885977,0.593417178706663,10,38,23,18,13,32
"Synj2bp",4912.84105483385,0.0211754361509438,0.127668895454388,0.778140513064872,0.938495223693337,3607,5520,6069,4674,4787,5266
"Adam21",23.1724858783175,-0.00310590555729739,0.151296026913646,0.935035658558197,0.984408802508271,23,23,32,34,15,15
"Med6",7568.12196860005,0.0689658995959289,0.134729623731237,0.383295921256713,0.793463834769553,5525,8306,9505,7848,6405,8704
"Ttc9",1.04296907712882,0.00157021897544241,0.15622782539101,0.848555475200279,NA,2,0,0,2,0,2
"Map3k9",3218.52796896745,0.0557455357492041,0.14964639743278,0.405857879714101,0.802465468238318,2145,1926,4084,5916,2708,3518
"Gm30706",249.201471520546,1.57286891195467,0.342340463264852,1.96197319962464e-07,7.27820712580756e-05,80,417,165,275,112,474
"Pcnx",19550.5547641121,0.0618180117702065,0.123672489377604,0.441999247236454,0.818563187924605,14938,18817,24677,23476,16438,21769
"Gm30799",10.9499839599096,0.0275390688866895,0.156849075874022,0.372003437689073,0.787728803017391,4,10,12,17,10,16
"Sipa1l1",11023.5180147032,0.0265947842265179,0.128551408830186,0.664598530330114,0.902007617448761,8145,11777,13686,15063,10252,8921
"Gm30916",0.64875348106062,0.0043601365327871,0.156494072195648,0.482607563675988,NA,0,0,0,0,0,4
"Gm51987",0.642351976012335,0.00462590341437223,0.156501615865711,0.471515719702696,NA,0,2,0,2,0,0
"Gm31064",1.47219643734002,-0.00964944845167238,0.156822694346054,0.1515022596426,NA,0,0,6,0,4,0
"Gm30966",1.50352493908528,0.000184497251295717,0.156037947712358,0.988012716327917,NA,0,0,3,2,2,3
"Rgs6",6.80449043506997,0.00938703389563935,0.155139445349945,0.68315580532733,0.908900353788971,5,12,6,10,6,2
"Gm22149",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"1700085C21Rik",1.21354447408461,0.00101575530815264,0.156184315329689,0.910994302226598,NA,0,2,4,0,0,2
"Gm31308",91.4149111499396,0.0354166491787663,0.147577746238078,0.552509383475468,0.861579915410715,66,69,128,124,65,118
"Gm31187",0.361490366392528,0.00387197509004775,0.156463184373317,0.632484198498403,NA,0,2,0,0,0,0
"1700030I03Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Gm51988",0.140430804809904,0.0029037799143961,0.156421523080706,0.829882553921128,NA,0,0,0,1,0,0
"LOC118567973",0.502528563563837,-0.001529034261554,0.156342969368432,0.807313289990188,NA,0,0,0,0,2,1
"Dpf3",1944.35879497085,0.030017732324458,0.137091706131576,0.670413678237996,0.904018467699904,1408,1248,2278,3054,1916,2190
"Dcaf4",2353.66208427809,-0.0625159552071813,0.128014665247442,0.438957418394921,0.818444151784773,1789,2091,2971,2846,2657,2099
"Zfyve1",7155.49919846371,-0.00400615266817651,0.121020803103662,0.905319383598969,0.978089379615468,5301,5684,8699,9417,7629,7397
"Rbm25",16148.3913024032,0.0534895297104466,0.148489219488482,0.461630453883343,0.82604774839675,13125,20597,18211,11863,12814,20372
"Psen1",12107.569609155,-0.0855888659825494,0.131794471586821,0.305422410493728,0.753510694232593,9349,9707,16042,14912,13370,11230
"Papln",58.0440999565704,-0.0415541089962779,0.153214183938291,0.434114366692875,0.817123066475872,56,32,66,77,67,56
"Numb",3570.66770456098,0.0401744962827187,0.122930306074206,0.62468542890706,0.887410805231404,2689,3871,4319,4093,3355,3496
"Gm46367",1.68159910639268,0.00954138984817494,0.156383574056139,0.451645400748148,NA,0,2,2,4,1,2
"Gm31386",9.86118595752171,0.00345075898222886,0.154366361237159,0.894564416866602,0.974528090227044,2,16,14,6,14,9
"Heatr4",6.88810061694354,-0.0138596529474807,0.155511936951295,0.556421482012927,0.862892737877489,4,4,13,3,9,10
"Riox1",2768.17840252811,-0.0703262697697671,0.150049360795009,0.330942887458254,0.767196786003835,2230,2206,3179,3916,3528,1922
"Acot2",4317.59026118947,0.0962014907135462,0.14444233402844,0.227174011348512,0.696104273456621,3212,5023,5003,4712,3607,4755
"Acot1",667.172679279003,0.0390903222557981,0.134939654471346,0.596741619111038,0.875593757955267,565,751,704,679,603,721
"Gm40474",70.7199233736142,-0.0404034755721341,0.158221632739877,0.318328437958838,0.76043437548975,48,21,88,131,119,38
"Acot4",2.93499778170254,0.000785304330314174,0.155592567165852,0.963054011362142,NA,4,3,3,1,1,5
"Acot3",28.0334836593697,0.098088598516609,0.19421284438499,0.0527291167078959,0.419312694924632,10,39,29,42,19,36
"Acot5",28.8978260536843,0.111666705401912,0.208473278416039,0.0364288337133739,0.352202192021028,10,39,29,47,19,37
"Acot6",274.244282059383,0.251374623435177,0.301157702112093,0.031850143936026,0.329532701179888,160,331,335,314,178,375
"Dnal1",2322.27394395842,0.112651915158344,0.168641784483303,0.175001678650703,0.646285101794613,1605,3107,2931,2663,1692,2225
"Pnma1",120.396507882714,-0.0200379251815697,0.141027310857619,0.749760577918592,0.930206480123504,98,89,145,174,128,108
"Mideas",21695.4795250719,0.0243673676084327,0.116716816175816,0.754623359486524,0.93155080103501,16371,18723,27965,27116,19828,23782
"Gm40476",4.1069570976552,0.00602651935580898,0.155423270730762,0.755216398835353,NA,1,2,4,6,6,7
"Gm31513",802.392640252507,0.0639611071572391,0.139200936433218,0.409883611649715,0.804972117478981,592,850,945,794,712,998
"Gm51953",17.5825876598041,0.0128955208975258,0.155462508134902,0.583832019315768,0.871656073821578,12,0,16,26,14,42
"Gm46319",15.4449663382105,-0.0291183307588109,0.15816390938187,0.269584798703763,0.728649365572569,17,11,21,1,22,19
"Ptgr2",9536.96054106906,0.0616485642047588,0.124157821358995,0.471541653982868,0.829152055342576,6885,9942,11455,10598,9059,10433
"Zfp410",8496.22378543683,0.00493654116981657,0.119106478184866,0.95212433543202,0.988795696786558,5992,7372,10272,11011,9199,8543
"Fam161b",514.991491247905,0.0846877208742865,0.142940122600832,0.297469906353255,0.748418110386969,343,523,629,724,469,499
"Coq6",6594.90704307772,-0.0648090088051471,0.151541512180432,0.34971934832374,0.777644020656549,4892,4427,8443,10298,8355,4577
"Entpd5",2813.89902169498,-0.11518477672014,0.155022545481383,0.186396216740256,0.658307427756872,2541,2442,3632,3444,2968,2149
"Bbof1",152.138049309448,0.0597115037008582,0.162334307805088,0.253237823855837,0.716256303705606,99,272,174,93,107,167
"Rnf113a2",7.23121810996944,0.0265314242467693,0.157834704348564,0.278857335397184,0.736412919247831,4,8,6,6,4,16
"Aldh6a1",2832.12620498438,0.122677096654901,0.161490620745346,0.163248449511891,0.632816779568869,1841,3382,3351,2951,2498,3307
"Lin52",2812.42310309261,-0.0560555693816219,0.124541403708432,0.510796953869329,0.842526757199891,2158,2611,3709,3388,2953,2470
"Vsx2",0.527677367161769,-0.00432601592240608,0.156493874920783,0.513609036760449,NA,0,0,4,0,0,0
"Abcd4",1003.98263019813,0.0296945881429936,0.131579582069487,0.689672286765129,0.911202916384257,690,1179,1164,1081,1066,944
"Vrtn",1.61548219760327,0.0139172438615966,0.157242849598075,0.0885331109399105,NA,0,2,0,2,0,6
"Syndig1l",0,NA,NA,NA,NA,0,0,0,0,0,0
"Npc2",17278.3271864258,0.0232717664659297,0.125022320393369,0.766648245728416,0.93534785483571,11634,16214,21267,24084,18262,15452
"Isca2",6970.54039261309,-0.070905045439168,0.141577826246884,0.361342389632786,0.782688177630407,5227,5754,9087,9467,8169,5353
"Ltbp2",508.260869658053,-0.100782423154742,0.145607772381786,0.232058442255979,0.700190534952492,449,440,646,540,539,479
"D030025P21Rik",0,NA,NA,NA,NA,0,0,0,0,0,0
"Arel1",13266.4289414268,0.177364001525525,0.155835544773718,0.0795168757176367,0.505257806062579,9139,12882,15774,17825,11054,15246
"Fcf1",8818.97070660745,-0.0142950956123837,0.12438062575195,0.834359287301688,0.95519663751382,6533,9286,10792,8611,9524,8984
"Ylpm1",14856.373497253,0.145448713491739,0.165651242067925,0.124989405210763,0.589769917525281,10620,15662,17928,16639,11488,18772
"Prox2",1007.70189391606,0.0296505616530829,0.132726357088588,0.68637341102839,0.909828268270026,747,1204,1237,963,943,1034
"Dlst",51470.1249982439,-0.0786051234385579,0.144555528552253,0.350141831467481,0.777894528592709,38928,39669,66737,71309,60427,41183
"Rps6kl1",8178.84548084571,-0.171857558810017,0.173276323614223,0.0855007861554822,0.518317883945571,6624,5907,10662,9394,9987,7622
"Pgf",3181.89207462204,0.123285944984681,0.188199245036222,0.128284274757939,0.593581984710379,1978,2166,3346,6178,2798,3529
"Eif2b2",30284.0720385238,-0.0230852411840645,0.134994676998067,0.728428326442168,0.923569852351605,21337,24483,35934,45814,36401,23556
