"","baseMean","log2FoldChange","lfcSE","pvalue","padj","1_C1P_S1","10_S2_Diff_S10","11_F8P_Diff_S11","12_S3_Diff_S12","2_S1_S2","3_F6_S3","4_S2_S4","5_F8P_S5","6_S3_S6","7_C1P_Diff_S7","8_S1_Diff_S8","9_F6_Diff_S9"
"Atp2b4",1336.56451530381,0.584568842831033,0.224919143970947,8.61322998328565e-05,0.00535952140730387,1594,961,1443,1605,740,1435,903,1569,912,2284,978,2084
"Optc",1741.0668835329,1.05626246153522,0.116406014671865,2.4100402411928e-20,5.05361338175718e-17,1704,1238,2805,1923,722,1552,854,1897,691,3787,1682,2910
"Prelp",145.577284523837,1.16378980333432,0.478218442284773,8.50532001220914e-05,0.00532382254734369,120,106,351,200,22,80,46,204,56,262,94,287
"Fmod",180.387349181152,1.18202170301889,0.346297735731034,1.10433315753243e-05,0.00108792999963618,120,140,253,214,66,264,108,348,80,319,126,218
"Lhx9",788.713940816453,0.465087825526875,0.290152290575344,0.00115262018945802,0.0354908850994789,1001,456,978,767,573,897,656,1552,637,785,408,930
"B3galt2",13.0335907058255,-1.75367637239624,2.30155352106543,4.1133959762472e-05,0.0028944228263734,0,6,0,8,76,0,6,0,2,0,56,0
"Lamc2",655.774167473865,1.22904233174879,0.258517916844076,1.44111612674987e-07,3.05240041028466e-05,367,526,1210,858,187,391,224,944,183,1251,827,1322
"E330020D12Rik",532.470713883472,0.795563871953718,0.246641875760462,1.14726963146381e-05,0.00112416340664321,546,254,973,565,276,554,338,739,280,810,302,962
"Lhx4",188.525902251396,-2.22536547042592,0.241663044950095,1.07147642665496e-22,3.2096841700754e-19,102,132,65,214,394,73,442,75,355,88,221,55
"Sele",699.345917826716,1.99109793933213,0.423014468574556,2.45424670302943e-08,6.95447285348976e-06,1364,84,745,142,290,658,372,3837,334,567,95,358
"Gm33404",109.925922007995,0.73250198149914,0.469420909425228,0.000704525286156486,0.0250393063142633,183,58,116,114,45,129,69,121,68,154,68,224
"Nectin4",153.63503206253,-1.55016853988599,0.322683286231579,8.9854779164842e-08,2.0935165158973e-05,29,230,91,407,108,33,101,30,81,274,342,217
"Gm37336",4.19039099660667,-0.412121462221431,0.980632786776161,0.00171995797337287,0.0460418657032738,0,2,8,8,8,0,2,0,4,6,9,5
"Psen2",6142.39280691326,-0.388709128269297,0.158089585627492,0.000384651630905255,0.0158774804103392,3192,6381,5544,10660,6010,4325,5962,5108,4602,7320,9833,6759
"Gata3",3355.46108757821,0.44422044548415,0.125386707889204,1.58931938023714e-05,0.00143031923108122,4509,1519,2485,2518,3086,5340,3770,5805,3205,3503,1805,3063
"Gad2",360.857092778491,0.771627348189682,0.271840394071903,3.57823085749789e-05,0.00265130469437714,705,188,320,278,257,398,348,608,239,479,234,345
"Apbb1ip",129.692963796934,0.75329853092887,0.977330881076561,0.0010362737672333,0.0328738647883737,114,18,337,48,48,84,20,763,32,110,46,47
"Il1rn",16.7093725456306,-1.58766539757721,1.69717944707219,0.000114577400522322,0.00663694340207892,0,34,24,41,26,0,14,2,6,12,32,12
"Entpd2",326.409951787245,0.414785099236654,0.254052693616697,0.00136562062989243,0.0402146230399326,278,211,358,396,199,419,231,365,195,537,315,542
"Notch1",3113.54135900155,0.840307396117503,0.430187559115373,0.000284195437000698,0.0127063840479054,3251,831,4864,1314,2378,4685,2469,9588,2055,2415,988,3403
"Fam163b",56.3771897687654,0.712822125386642,1.10223807650558,0.000907424376372516,0.0296382893273447,206,5,18,16,10,68,6,26,7,322,2,38
